epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,754.993,0.73259,0.52445,0.95459,0.99702,0.97735,0.99426,0.85822,0.57388,0.37677,0.87374,0.0002378,0.0002378,0.0002378
91,765.227,0.61517,0.42382,0.8947,0.99215,0.98706,0.9949,0.86796,0.55381,0.37049,0.86296,0.000218,0.000218,0.000218
92,773.456,0.64608,0.50544,0.91236,0.99915,0.98382,0.9949,0.87197,0.53665,0.36721,0.85477,0.0001982,0.0001982,0.0001982
93,781.602,0.5816,0.40983,0.8817,0.99887,0.98382,0.9949,0.8739,0.5338,0.36282,0.85727,0.0001784,0.0001784,0.0001784
94,789.701,0.60055,0.41765,0.89391,0.98619,0.99029,0.99484,0.87779,0.52803,0.36409,0.85194,0.0001586,0.0001586,0.0001586
95,797.813,0.57872,0.3865,0.88232,0.98688,0.99029,0.99474,0.88004,0.52611,0.37111,0.85113,0.0001388,0.0001388,0.0001388
96,805.708,0.59761,0.38913,0.90294,0.99189,0.98706,0.99487,0.8817,0.52257,0.36056,0.85173,0.000119,0.000119,0.000119
97,813.843,0.58768,0.42295,0.88031,0.99551,0.98382,0.99477,0.88068,0.516,0.35116,0.84997,9.92e-05,9.92e-05,9.92e-05
98,821.532,0.56194,0.37568,0.87743,0.99672,0.98312,0.99478,0.88329,0.51131,0.34826,0.84769,7.94e-05,7.94e-05,7.94e-05
99,829.512,0.54406,0.38532,0.87823,0.99746,0.98382,0.99481,0.88828,0.50273,0.34212,0.84432,5.96e-05,5.96e-05,5.96e-05
100,837.458,0.58281,0.37281,0.87248,0.99673,0.98638,0.99481,0.889,0.49711,0.33931,0.84218,3.98e-05,3.98e-05,3.98e-05
